Source_ID,Source_Name,Target_ID,Target_Name,Relationship_Type,Evidence_Ref,Notes
EMAIL-003,EMAIL 003,PER-008,PER-008,ASSOCIATED_WITH,RICO Matrix,Bidirectional cross-reference between EMAIL-003 and PER-008
EMAIL-004,EMAIL 004,GOV-011,GOV-011,ASSOCIATED_WITH,Knabb v. HB RCRA Complaint,Bidirectional cross-reference between EMAIL-004 and GOV-011
EMAIL-005,EMAIL 005,GOV-008,GOV-008,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between EMAIL-005 and GOV-008
EV-001,HCD $96M NOTICE OF VIOLATION RES 2022 064,ADDR-002,ADDR-002,ASSOCIATED_WITH,,Bidirectional cross-reference between EV-001 and ADDR-002
EV-001,HCD $96M NOTICE OF VIOLATION RES 2022 064,RICO-005,RICO-005,ASSOCIATED_WITH,,Bidirectional cross-reference between EV-001 and RICO-005
EV-001,HCD $96M NOTICE OF VIOLATION RES 2022 064,TOX-001,TOX-001,ASSOCIATED_WITH,,Bidirectional cross-reference between EV-001 and TOX-001
EV-001,HCD $96M NOTICE OF VIOLATION RES 2022 064,TOX-002,TOX-002,ASSOCIATED_WITH,,Bidirectional cross-reference between EV-001 and TOX-002
EV-001,HCD $96M NOTICE OF VIOLATION RES 2022 064,TOX-003,TOX-003,ASSOCIATED_WITH,,Bidirectional cross-reference between EV-001 and TOX-003
EV-001,HCD $96M NOTICE OF VIOLATION RES 2022 064,TOX-004,TOX-004,ASSOCIATED_WITH,,Bidirectional cross-reference between EV-001 and TOX-004
EV-001,HCD $96M NOTICE OF VIOLATION RES 2022 064,TOX-005,TOX-005,ASSOCIATED_WITH,,Bidirectional cross-reference between EV-001 and TOX-005
EV-002,ORANGE COUNTY CJC UNLAWFUL DETAINER DOCKET #1201327,RICO-001,RICO-001,ASSOCIATED_WITH,,Bidirectional cross-reference between EV-002 and RICO-001
EV-003,QUANTUM AUTO DISMANTLER INVOICE #14098 TITLE TRAIL,RICO-001,RICO-001,ASSOCIATED_WITH,,Bidirectional cross-reference between EV-003 and RICO-001
EV-003,QUANTUM AUTO DISMANTLER INVOICE #14098 TITLE TRAIL,RICO-002,RICO-002,ASSOCIATED_WITH,,Bidirectional cross-reference between EV-003 and RICO-002
EV-005,8 LAKEVIEW IRVINE DEED HOMI NON PROFIT TAX FILINGS,RICO-010,RICO-010,ASSOCIATED_WITH,,Bidirectional cross-reference between EV-005 and RICO-010
EV-016,1AIGDIMARCELLO PDF,RICO-002,RICO-002,ASSOCIATED_WITH,Evidence_Items,Bidirectional cross-reference between EV-016 and RICO-002
EV-017,EWING POLICE DEPARTMENT CHAIN OF CUSTODY REPORT,RICO-011,RICO-011,ASSOCIATED_WITH,Evidence_Items,Bidirectional cross-reference between EV-017 and RICO-011
EV-018,ROGER 2022 SMS TRANSCRIPT DEAN 9 22 RECORD,RICO-005,RICO-005,ASSOCIATED_WITH,Evidence_Items,Bidirectional cross-reference between EV-018 and RICO-005
EV-019,CHASE VISA ACCOUNT 4266 BREACH LOGS,RICO-003,RICO-003,ASSOCIATED_WITH,Evidence_Items,Bidirectional cross-reference between EV-019 and RICO-003
EV-020,AMERICAN BANKERS INSURANCE ASSURANT IDENTITY RECOVERY CLAIM,TOX-001,TOX-001,ASSOCIATED_WITH,Evidence_Items,Bidirectional cross-reference between EV-020 and TOX-001
EV-029,GOOGLE PHOTOS ALBUM: 8 PHOTOS THURSDAY AUG 19 2021,RICO-008,RICO-008,ASSOCIATED_WITH,Evidence_Items,Bidirectional cross-reference between EV-029 and RICO-008
EV-030,GOOGLE PHOTO: AUG 17 2021 DOCUMENT PHOTO,RICO-008,RICO-008,ASSOCIATED_WITH,Evidence_Items,Bidirectional cross-reference between EV-030 and RICO-008
EV-030,GOOGLE PHOTO: AUG 17 2021 DOCUMENT PHOTO,RICO-009,RICO-009,ASSOCIATED_WITH,Evidence_Items,Bidirectional cross-reference between EV-030 and RICO-009
EV-030,GOOGLE PHOTO: AUG 17 2021 DOCUMENT PHOTO,RICO-010,RICO-010,ASSOCIATED_WITH,Evidence_Items,Bidirectional cross-reference between EV-030 and RICO-010
EV-030,GOOGLE PHOTO: AUG 17 2021 DOCUMENT PHOTO,RICO-011,RICO-011,ASSOCIATED_WITH,Evidence_Items,Bidirectional cross-reference between EV-030 and RICO-011
GOV-001,ORANGE COUNTY SUPERIOR COURT CJC,ADDR-001,ADDR-001,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-001 and ADDR-001
GOV-001,ORANGE COUNTY SUPERIOR COURT CJC,EMAIL-001,EMAIL-001,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-001 and EMAIL-001
GOV-001,ORANGE COUNTY SUPERIOR COURT CJC,EMAIL-003,EMAIL-003,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-001 and EMAIL-003
GOV-001,ORANGE COUNTY SUPERIOR COURT CJC,PHONE-001,PHONE-001,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-001 and PHONE-001
GOV-001,ORANGE COUNTY SUPERIOR COURT CJC,RICO-016,RICO-016,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-001 and RICO-016
GOV-001,ORANGE COUNTY SUPERIOR COURT CJC,RICO-017,RICO-017,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-001 and RICO-017
GOV-001,ORANGE COUNTY SUPERIOR COURT CJC,RICO-018,RICO-018,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-001 and RICO-018
GOV-001,ORANGE COUNTY SUPERIOR COURT CJC,RICO-019,RICO-019,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-001 and RICO-019
GOV-001,ORANGE COUNTY SUPERIOR COURT CJC,RICO-020,RICO-020,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-001 and RICO-020
GOV-002,CALIFORNIA HOUSING COMMUNITY DEVELOPMENT HCD,ADDR-001,ADDR-001,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-002 and ADDR-001
GOV-002,CALIFORNIA HOUSING COMMUNITY DEVELOPMENT HCD,EMAIL-002,EMAIL-002,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-002 and EMAIL-002
GOV-002,CALIFORNIA HOUSING COMMUNITY DEVELOPMENT HCD,PHONE-002,PHONE-002,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-002 and PHONE-002
GOV-002,CALIFORNIA HOUSING COMMUNITY DEVELOPMENT HCD,RICO-020,RICO-020,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-002 and RICO-020
GOV-003,ORANGE COUNTY HEALTH CARE AGENCY OCHCA,ADDR-003,ADDR-003,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-003 and ADDR-003
GOV-003,ORANGE COUNTY HEALTH CARE AGENCY OCHCA,PHONE-003,PHONE-003,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-003 and PHONE-003
GOV-003,ORANGE COUNTY HEALTH CARE AGENCY OCHCA,RICO-016,RICO-016,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-003 and RICO-016
GOV-003,ORANGE COUNTY HEALTH CARE AGENCY OCHCA,RICO-017,RICO-017,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-003 and RICO-017
GOV-003,ORANGE COUNTY HEALTH CARE AGENCY OCHCA,RICO-018,RICO-018,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-003 and RICO-018
GOV-003,ORANGE COUNTY HEALTH CARE AGENCY OCHCA,RICO-019,RICO-019,ASSOCIATED_WITH,,Bidirectional cross-reference between GOV-003 and RICO-019
NP-002,SURF CITY NAVIGATION CENTER,ADDR-002,ADDR-002,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between NP-002 and ADDR-002
PER-002,TODD AMENT,RICO-014,RICO-014,ASSOCIATED_WITH,,Bidirectional cross-reference between PER-002 and RICO-014
PER-002,TODD AMENT,RICO-015,RICO-015,ASSOCIATED_WITH,,Bidirectional cross-reference between PER-002 and RICO-015
PER-003,MELAHAT RAFIEI,ADDR-001,ADDR-001,ASSOCIATED_WITH,,Bidirectional cross-reference between PER-003 and ADDR-001
PER-003,MELAHAT RAFIEI,EMAIL-001,EMAIL-001,ASSOCIATED_WITH,,Bidirectional cross-reference between PER-003 and EMAIL-001
PER-004,JEFFREY FLINT,ADDR-001,ADDR-001,ASSOCIATED_WITH,,Bidirectional cross-reference between PER-004 and ADDR-001
PER-004,JEFFREY FLINT,EMAIL-002,EMAIL-002,ASSOCIATED_WITH,,Bidirectional cross-reference between PER-004 and EMAIL-002
PER-008,VICHAL NUNEN,ADDR-001,ADDR-001,ASSOCIATED_WITH,,Bidirectional cross-reference between PER-008 and ADDR-001
PER-008,VICHAL NUNEN,EMAIL-003,EMAIL-003,ASSOCIATED_WITH,,Bidirectional cross-reference between PER-008 and EMAIL-003
PHONE-001,PHONE 001,GOV-001,GOV-001,ASSOCIATED_WITH,Knabb v. HB RCRA Complaint,Bidirectional cross-reference between PHONE-001 and GOV-001
PHONE-002,PHONE 002,GOV-002,GOV-002,ASSOCIATED_WITH,Whistleblower Dossier,Bidirectional cross-reference between PHONE-002 and GOV-002
PHONE-003,PHONE 003,GOV-003,GOV-003,ASSOCIATED_WITH,Whistleblower Dossier,Bidirectional cross-reference between PHONE-003 and GOV-003
PHONE-004,PHONE 004,GOV-004,GOV-004,ASSOCIATED_WITH,Whistleblower Dossier,Bidirectional cross-reference between PHONE-004 and GOV-004
PHONE-005,PHONE 005,GOV-011,GOV-011,ASSOCIATED_WITH,Knabb v. HB RCRA Complaint,Bidirectional cross-reference between PHONE-005 and GOV-011
PHONE-006,PHONE 006,GOV-012,GOV-012,ASSOCIATED_WITH,Unclaimed Property PDFs,Bidirectional cross-reference between PHONE-006 and GOV-012
PHONE-007,PHONE 007,GOV-013,GOV-013,ASSOCIATED_WITH,RICO Matrix,Bidirectional cross-reference between PHONE-007 and GOV-013
RICO-001,MUNICIPAL ENTERPRISE HUB,EV-002,EV-002,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and EV-002
RICO-001,MUNICIPAL ENTERPRISE HUB,EV-003,EV-003,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and EV-003
RICO-001,MUNICIPAL ENTERPRISE HUB,EV-008,EV-008,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and EV-008
RICO-001,MUNICIPAL ENTERPRISE HUB,EV-011,EV-011,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and EV-011
RICO-001,MUNICIPAL ENTERPRISE HUB,RICO-002,RICO-002,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and RICO-002
RICO-001,MUNICIPAL ENTERPRISE HUB,RICO-003,RICO-003,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and RICO-003
RICO-001,MUNICIPAL ENTERPRISE HUB,RICO-004,RICO-004,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and RICO-004
RICO-001,MUNICIPAL ENTERPRISE HUB,RICO-005,RICO-005,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and RICO-005
RICO-001,MUNICIPAL ENTERPRISE HUB,RICO-008,RICO-008,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and RICO-008
RICO-001,MUNICIPAL ENTERPRISE HUB,RICO-009,RICO-009,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and RICO-009
RICO-001,MUNICIPAL ENTERPRISE HUB,RICO-010,RICO-010,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and RICO-010
RICO-001,MUNICIPAL ENTERPRISE HUB,RICO-011,RICO-011,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and RICO-011
RICO-001,MUNICIPAL ENTERPRISE HUB,RICO-012,RICO-012,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and RICO-012
RICO-001,MUNICIPAL ENTERPRISE HUB,RICO-013,RICO-013,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-001 and RICO-013
RICO-002,JUDICIAL DEFAULT ENGINE,EV-003,EV-003,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-002 and EV-003
RICO-002,JUDICIAL DEFAULT ENGINE,EV-009,EV-009,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-002 and EV-009
RICO-002,JUDICIAL DEFAULT ENGINE,EV-016,EV-016,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-002 and EV-016
RICO-002,JUDICIAL DEFAULT ENGINE,RICO-001,RICO-001,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-002 and RICO-001
RICO-002,JUDICIAL DEFAULT ENGINE,RICO-003,RICO-003,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-002 and RICO-003
RICO-002,JUDICIAL DEFAULT ENGINE,RICO-004,RICO-004,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-002 and RICO-004
RICO-002,JUDICIAL DEFAULT ENGINE,RICO-005,RICO-005,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-002 and RICO-005
RICO-003,GRANT FRAUD SPECULATION CONDUIT,EV-007,EV-007,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-003 and EV-007
RICO-003,GRANT FRAUD SPECULATION CONDUIT,EV-015,EV-015,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-003 and EV-015
RICO-003,GRANT FRAUD SPECULATION CONDUIT,EV-019,EV-019,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-003 and EV-019
RICO-003,GRANT FRAUD SPECULATION CONDUIT,RICO-001,RICO-001,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-003 and RICO-001
RICO-003,GRANT FRAUD SPECULATION CONDUIT,RICO-002,RICO-002,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-003 and RICO-002
RICO-003,GRANT FRAUD SPECULATION CONDUIT,RICO-004,RICO-004,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-003 and RICO-004
RICO-004,POLITICAL CONDUIT FLEET HUB,EV-008,EV-008,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-004 and EV-008
RICO-004,POLITICAL CONDUIT FLEET HUB,EV-010,EV-010,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-004 and EV-010
RICO-004,POLITICAL CONDUIT FLEET HUB,EV-015,EV-015,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-004 and EV-015
RICO-004,POLITICAL CONDUIT FLEET HUB,RICO-001,RICO-001,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-004 and RICO-001
RICO-004,POLITICAL CONDUIT FLEET HUB,RICO-002,RICO-002,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-004 and RICO-002
RICO-004,POLITICAL CONDUIT FLEET HUB,RICO-003,RICO-003,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-004 and RICO-003
RICO-004,POLITICAL CONDUIT FLEET HUB,RICO-005,RICO-005,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-004 and RICO-005
RICO-005,ENVIRONMENTAL SHELTER CONCEALMENT,EV-001,EV-001,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-005 and EV-001
RICO-005,ENVIRONMENTAL SHELTER CONCEALMENT,EV-006,EV-006,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-005 and EV-006
RICO-005,ENVIRONMENTAL SHELTER CONCEALMENT,EV-013,EV-013,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-005 and EV-013
RICO-005,ENVIRONMENTAL SHELTER CONCEALMENT,EV-018,EV-018,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-005 and EV-018
RICO-005,ENVIRONMENTAL SHELTER CONCEALMENT,RICO-001,RICO-001,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-005 and RICO-001
RICO-005,ENVIRONMENTAL SHELTER CONCEALMENT,RICO-002,RICO-002,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-005 and RICO-002
RICO-005,ENVIRONMENTAL SHELTER CONCEALMENT,RICO-004,RICO-004,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-005 and RICO-004
RICO-005,ENVIRONMENTAL SHELTER CONCEALMENT,RICO-008,RICO-008,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-005 and RICO-008
RICO-005,ENVIRONMENTAL SHELTER CONCEALMENT,RICO-009,RICO-009,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-005 and RICO-009
RICO-005,ENVIRONMENTAL SHELTER CONCEALMENT,RICO-012,RICO-012,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-005 and RICO-012
RICO-005,ENVIRONMENTAL SHELTER CONCEALMENT,RICO-013,RICO-013,ASSOCIATED_WITH,,Bidirectional cross-reference between RICO-005 and RICO-013
RICO-008,CONTROLLED PLAINTIFF NODE,EV-029,EV-029,ASSOCIATED_WITH,Master Narrative,Bidirectional cross-reference between RICO-008 and EV-029
RICO-008,CONTROLLED PLAINTIFF NODE,EV-030,EV-030,ASSOCIATED_WITH,Master Narrative,Bidirectional cross-reference between RICO-008 and EV-030
RICO-008,CONTROLLED PLAINTIFF NODE,RICO-001,RICO-001,ASSOCIATED_WITH,Master Narrative,Bidirectional cross-reference between RICO-008 and RICO-001
RICO-008,CONTROLLED PLAINTIFF NODE,RICO-005,RICO-005,ASSOCIATED_WITH,Master Narrative,Bidirectional cross-reference between RICO-008 and RICO-005
RICO-009,TEXAS HUB,EV-030,EV-030,ASSOCIATED_WITH,LightBox True Owner,Bidirectional cross-reference between RICO-009 and EV-030
RICO-009,TEXAS HUB,EV-037,EV-037,ASSOCIATED_WITH,LightBox True Owner,Bidirectional cross-reference between RICO-009 and EV-037
RICO-009,TEXAS HUB,RICO-001,RICO-001,ASSOCIATED_WITH,LightBox True Owner,Bidirectional cross-reference between RICO-009 and RICO-001
RICO-009,TEXAS HUB,RICO-005,RICO-005,ASSOCIATED_WITH,LightBox True Owner,Bidirectional cross-reference between RICO-009 and RICO-005
RICO-009,TEXAS HUB,RICO-010,RICO-010,ASSOCIATED_WITH,LightBox True Owner,Bidirectional cross-reference between RICO-009 and RICO-010
RICO-010,DELAWARE LAYER,EV-005,EV-005,ASSOCIATED_WITH,OpenCorporates,Bidirectional cross-reference between RICO-010 and EV-005
RICO-010,DELAWARE LAYER,EV-030,EV-030,ASSOCIATED_WITH,OpenCorporates,Bidirectional cross-reference between RICO-010 and EV-030
RICO-010,DELAWARE LAYER,RICO-001,RICO-001,ASSOCIATED_WITH,OpenCorporates,Bidirectional cross-reference between RICO-010 and RICO-001
RICO-010,DELAWARE LAYER,RICO-009,RICO-009,ASSOCIATED_WITH,OpenCorporates,Bidirectional cross-reference between RICO-010 and RICO-009
RICO-010,DELAWARE LAYER,RICO-011,RICO-011,ASSOCIATED_WITH,OpenCorporates,Bidirectional cross-reference between RICO-010 and RICO-011
RICO-011,NEVADA ANCHOR,EV-017,EV-017,ASSOCIATED_WITH,Master Index,Bidirectional cross-reference between RICO-011 and EV-017
RICO-011,NEVADA ANCHOR,EV-030,EV-030,ASSOCIATED_WITH,Master Index,Bidirectional cross-reference between RICO-011 and EV-030
RICO-011,NEVADA ANCHOR,RICO-001,RICO-001,ASSOCIATED_WITH,Master Index,Bidirectional cross-reference between RICO-011 and RICO-001
RICO-011,NEVADA ANCHOR,RICO-010,RICO-010,ASSOCIATED_WITH,Master Index,Bidirectional cross-reference between RICO-011 and RICO-010
RICO-012,HISTORICAL SUBSTITUTION NODE,EV-031,EV-031,ASSOCIATED_WITH,USGS/National Archives,Bidirectional cross-reference between RICO-012 and EV-031
RICO-012,HISTORICAL SUBSTITUTION NODE,EV-037,EV-037,ASSOCIATED_WITH,USGS/National Archives,Bidirectional cross-reference between RICO-012 and EV-037
RICO-012,HISTORICAL SUBSTITUTION NODE,EV-038,EV-038,ASSOCIATED_WITH,USGS/National Archives,Bidirectional cross-reference between RICO-012 and EV-038
RICO-012,HISTORICAL SUBSTITUTION NODE,RICO-001,RICO-001,ASSOCIATED_WITH,USGS/National Archives,Bidirectional cross-reference between RICO-012 and RICO-001
RICO-012,HISTORICAL SUBSTITUTION NODE,RICO-005,RICO-005,ASSOCIATED_WITH,USGS/National Archives,Bidirectional cross-reference between RICO-012 and RICO-005
RICO-013,HUMAN TESTING INDUSTRIAL PATTERN,EV-035,EV-035,ASSOCIATED_WITH,CIA FOIA Reading Room,Bidirectional cross-reference between RICO-013 and EV-035
RICO-013,HUMAN TESTING INDUSTRIAL PATTERN,EV-036,EV-036,ASSOCIATED_WITH,CIA FOIA Reading Room,Bidirectional cross-reference between RICO-013 and EV-036
RICO-013,HUMAN TESTING INDUSTRIAL PATTERN,RICO-001,RICO-001,ASSOCIATED_WITH,CIA FOIA Reading Room,Bidirectional cross-reference between RICO-013 and RICO-001
RICO-013,HUMAN TESTING INDUSTRIAL PATTERN,RICO-005,RICO-005,ASSOCIATED_WITH,CIA FOIA Reading Room,Bidirectional cross-reference between RICO-013 and RICO-005
RICO-014,NEW MEXICO SOUTH DAKOTA NODE,EV-038,EV-038,ASSOCIATED_WITH,Relator Testimony,Bidirectional cross-reference between RICO-014 and EV-038
RICO-014,NEW MEXICO SOUTH DAKOTA NODE,PER-002,PER-002,ASSOCIATED_WITH,Relator Testimony,Bidirectional cross-reference between RICO-014 and PER-002
RICO-014,NEW MEXICO SOUTH DAKOTA NODE,PER-056,PER-056,ASSOCIATED_WITH,Relator Testimony,Bidirectional cross-reference between RICO-014 and PER-056
RICO-015,TEXAS LEGAL SUPPRESSION NODE,EV-039,EV-039,ASSOCIATED_WITH,Relator Testimony,Bidirectional cross-reference between RICO-015 and EV-039
RICO-015,TEXAS LEGAL SUPPRESSION NODE,PER-002,PER-002,ASSOCIATED_WITH,Relator Testimony,Bidirectional cross-reference between RICO-015 and PER-002
RICO-015,TEXAS LEGAL SUPPRESSION NODE,PER-057,PER-057,ASSOCIATED_WITH,Relator Testimony,Bidirectional cross-reference between RICO-015 and PER-057
