"Timestamp","Category","Target","Detail","Source","LegalNote"
"2026-05-14 11:02:57","State Funding","Billions to State","Crisis manufactured through restricted movement and fake court cases.","CA Homeless Budget 2026","Proves financial motive for maintaining occupancy."
"2026-05-14 15:22:52","Billing Fraud","Mercy House / HBFD","Alleged 50/50 split of  ambulance bill ( to operator).","Resident Testimony","Potential violation of Federal Anti-Kickback Statute."
"2026-05-14 15:22:52","EMS Violation","HBFD Dispatch","Policy of transporting residents ONLY to HB Hospital.","OCEMS Policy #310.10","Violates patient choice and suggests clinical imprisonment loop."
"2026-05-14 15:22:52","Medical Records","HBFD Patient Care Reports","Reports 'messed up' or falsified to justify clinical coding.","MyChart Audit","Evidence of systemic data compromise for billing purposes."
"2026-05-14 15:24:29","Constitutional","HBFD / OCEMS","Forced transport to HB Hospital violates OCEMS 310.10 Patient Choice.","OCEMS Policy 310.10","Evidence of restricted movement and clinical loop."
"2026-05-14 15:24:29","Billing","HBFD / Mercy House","Alleged  fee-split from  ambulance bills.","Resident Billing Logs","Potential Federal Anti-Kickback Statute violation."
"2026-05-14 15:24:29","Medical","NEMSIS 3.5 / ePCR","HBNC miscoded as 'Clinic' to justify clinical detention.","eDisposition.21 Audit","Falsified medical records used for billing and imprisonment."
"2026-05-14 15:24:31","Constitutional","HBFD / OCEMS","Forced transport to HB Hospital violates OCEMS 310.10 Patient Choice.","OCEMS Policy 310.10","Evidence of restricted movement and clinical loop."
"2026-05-14 15:24:31","Billing","HBFD / Mercy House","Alleged  fee-split from  ambulance bills.","Resident Billing Logs","Potential Federal Anti-Kickback Statute violation."
"2026-05-14 15:24:31","Medical","NEMSIS 3.5 / ePCR","HBNC miscoded as 'Clinic' to justify clinical detention.","eDisposition.21 Audit","Falsified medical records used for billing and imprisonment."
"2026-05-14 15:26:00","Constitutional","HBFD / OCEMS","Forced transport to HB Hospital violates OCEMS 310.10 Patient Choice.","OCEMS Policy 310.10","Evidence of restricted movement and clinical loop."
"2026-05-14 15:26:00","Billing","HBFD / Mercy House","Alleged  fee-split from  ambulance bills.","Resident Billing Logs","Potential Federal Anti-Kickback Statute violation."
"2026-05-14 15:26:00","Medical","NEMSIS 3.5 / ePCR","HBNC miscoded as 'Clinic' to justify clinical detention.","eDisposition.21 Audit","Falsified medical records used for billing and imprisonment."
"2026-05-14 16:09:48","Constitutional","HBFD / OCEMS","Forced transport to HB Hospital violates OCEMS 310.10 Patient Choice.","OCEMS Policy 310.10","Evidence of restricted movement and clinical loop."
"2026-05-14 16:09:48","Billing","HBFD / Mercy House","Alleged  fee-split from  ambulance bills.","Resident Billing Logs","Potential Federal Anti-Kickback Statute violation."
"2026-05-14 16:09:48","Medical","NEMSIS 3.5 / ePCR","HBNC miscoded as 'Clinic' to justify clinical detention.","eDisposition.21 Audit","Falsified medical records used for billing and imprisonment."
"2026-05-20 01:42:06","Constitutional","HBFD / OCEMS","Forced transport to HB Hospital violates OCEMS 310.10 Patient Choice.","OCEMS Policy 310.10","Evidence of restricted movement and clinical loop."
"2026-05-20 01:42:06","Billing","HBFD / Mercy House","Alleged  fee-split from  ambulance bills.","Resident Billing Logs","Potential Federal Anti-Kickback Statute violation."
"2026-05-20 01:42:06","Medical","NEMSIS 3.5 / ePCR","HBNC miscoded as 'Clinic' to justify clinical detention.","eDisposition.21 Audit","Falsified medical records used for billing and imprisonment."
"2026-05-20 01:42:15","Constitutional","HBFD / OCEMS","Forced transport to HB Hospital violates OCEMS 310.10 Patient Choice.","OCEMS Policy 310.10","Evidence of restricted movement and clinical loop."
"2026-05-20 01:42:15","Billing","HBFD / Mercy House","Alleged  fee-split from  ambulance bills.","Resident Billing Logs","Potential Federal Anti-Kickback Statute violation."
"2026-05-20 01:42:15","Medical","NEMSIS 3.5 / ePCR","HBNC miscoded as 'Clinic' to justify clinical detention.","eDisposition.21 Audit","Falsified medical records used for billing and imprisonment."
