City Name,IRC Report Years Available,Windows NT / Legacy Server Lineage,Data Systems Grade,IT Capital Deficit,Annual IT Spent / Budget,Annual Available Capital Capacity,Backup Latency Window,Antivirus / Security Posture,Public IP / WAF Exposure,GIS & Records Platform,Primary Tax Funding Source
City of Seal Beach,"2016 (ASCE OC), 2021 (OCBC)","YES (Legacy Small-Municipality Server Environment)","Grade C (Aging Infrastructure)","$3,800,000 Deficit","~$1,900,000 / Year","~$1,500,000 / Year","Multi-Day Backup Latency (Local NAS/Offsite Tape)",Basic Endpoint Antivirus + Firewall Appliance,Exposed External IP 64.78.33.190 (No Cloud WAF),Shared County GIS & In-House EDMS,Measure BB Infrastructure Tax Fund
City of Costa Mesa,"2016 (ASCE OC), 2021 (OCBC)","PARTIAL (Hybrid Cloud / Managed Virtualized Datacenter)","Grade B (Good / Stable)","$3,500,000 Deficit","~$4,800,000 / Year","~$4,000,000 / Year","Daily Automated Snapshots (RTO < 12 Hrs)",Enterprise EDR + Centralized SOC Monitoring,Reverse-Proxy Masked Gateway (Cloudflare 104.22.68.84),ArcGIS Enterprise Cloud & Tyler Technologies,General Fund CIP Allocation
City of Riverside,"2020 (RivCo IRC)","PARTIAL (Municipal Virtualized Datacenter)","Grade B (Stable)","$3,500,000 Deficit","~$9,500,000 / Year","~$8,000,000 / Year","Daily Automated Snapshots",Enterprise EDR + Perimeter WAF,Cloud-Routed Gateway,ArcGIS Enterprise & OpenGov,General Fund CIP Allocation
City of San Bernardino,"2021 (Inland Empire ASCE)","YES (Legacy On-Premise Public Works Servers)","Grade D+ (High Deferred Backlog)","$3,200,000 Deficit","~$6,800,000 / Year","~$4,500,000 / Year","48-Hour Backup Cycle (Local SAN)",Host Antivirus Agents,Direct Public IP Gateway,ArcGIS Server & Infor Hansen,Measure S Infrastructure Fund
City of Glendale,"2019 (CA ASCE)","PARTIAL (Hybrid Utility Datacenter)","Grade B+ (Well-Maintained)","$3,000,000 Deficit","~$12,000,000 / Year","~$10,500,000 / Year","Daily Cloud DR Replication",Enterprise EDR + 24/7 NOC/SOC,Cloudflare Proxied Gateway,ArcGIS Enterprise & Tyler Munis,Utility Enterprise & General Fund
City of Pasadena,"2019 (CA ASCE)","PARTIAL (Hybrid Municipal Cloud)","Grade B+ (Stable Architecture)","$2,800,000 Deficit","~$14,500,000 / Year","~$12,000,000 / Year","Sub-Hour Cloud DR Sync",Enterprise EDR + Hardware MFA,Cloudflare Enterprise WAF,ArcGIS Enterprise & Tyler ERP,General Fund CIP Allocation
City of Acworth,"2021 (Georgia ASCE)","YES (Unshielded Database Host)","Grade C- (Small Municipality Exposure)","$2,500,000 Deficit","~$1,200,000 / Year","~$900,000 / Year","Unverified Local NAS Backups",Basic Standalone Antivirus,Direct IP 213.165.236.104 (MySQL Exposed),City Portal & Local EDMS,Municipal General Fund
City of Burbank,"2019 (CA ASCE)","PARTIAL (Media/Utility Cloud Hybrid)","Grade B (Stable Systems)","$2,400,000 Deficit","~$11,000,000 / Year","~$9,500,000 / Year","Nightly Automated Cloud Snapshots",Enterprise EDR + SOC Telemetry,Cloud-Proxied Edge WAF,ArcGIS Enterprise & Tyler Technologies,Utility Enterprise Fund
City of Torrance,"2019 (CA ASCE)","PARTIAL (Municipal Virtualized Datacenter)","Grade B (Solid Performance)","$2,200,000 Deficit","~$8,500,000 / Year","~$7,200,000 / Year","Daily Automated Cloud Snapshots",Managed EDR + Perimeter Security,Cloud Gateway Filtered,ArcGIS Enterprise & Accela,General Fund CIP Allocation
City of Orange,"2016 (ASCE OC), 2021 (OCBC)","NO (Managed Cloud SaaS Gateway)","Grade B+ (Modern Municipal Systems)","$2,100,000 Deficit","~$6,100,000 / Year","~$5,000,000 / Year","Daily Automated Cloud Replication",Granicus WAF + Enterprise EDR,Gateway 208.89.57.102 (Granicus WAF),Laserfiche Cloud & ESRI SaaS,Capital Asset Replacement Reserve
City of Ardmore,"2021 (Oklahoma ASCE)","YES (Legacy Windows IIS Host)","Grade C (Aging On-Prem Infrastructure)","$2,000,000 Deficit","~$1,500,000 / Year","~$1,100,000 / Year","Local Backup Recovery Cycles",Legacy Antivirus Software,Direct IP 208.90.191.118 (IIS/10.0),ArcGIS Server & Laserfiche,City Capital Fund
City of Oxnard,"2019 (CA ASCE)","YES (On-Premises Legacy Public Works Host)","Grade C+ (Deferred IT Maintenance)","$2,000,000 Deficit","~$5,500,000 / Year","~$4,200,000 / Year","24-48 Hour Tape Backup Cycles",Standard Antivirus + Hardware Firewall,Direct Gateway Gateway IP,ArcGIS Server & Tyler Eden ERP,Measure O Capital Fund
City of Ventura,"2019 (CA ASCE)","PARTIAL (Hybrid SaaS Transition)","Grade B (Stable)","$1,800,000 Deficit","~$4,200,000 / Year","~$3,500,000 / Year","Daily Automated Snapshots",Enterprise EDR + MFA,Cloud-Proxied Edge,ArcGIS Online & Tyler Technologies,General Fund CIP Allocation
City of Santa Barbara,"2019 (CA ASCE)","PARTIAL (Hybrid Datacenter Model)","Grade B+ (Good Resilience)","$1,500,000 Deficit","~$6,800,000 / Year","~$5,800,000 / Year","Daily Automated Cloud Backups",Enterprise EDR + Cloudflare WAF,Cloudflare Edge Gateway,ArcGIS Enterprise & Accela Cloud,Measure I Capital Fund
City of Carlsbad,"2020 (San Diego ASCE)","NO (Cloud-Native Municipal Architecture)","Grade A- (Modernized)","$1,200,000 Deficit","~$7,500,000 / Year","~$6,800,000 / Year","Automated Real-Time Cloud DR",Enterprise EDR + 100% MFA,100% Cloudflare Edge WAF,ArcGIS Online & OpenGov SaaS,Infrastructure Replacement Fund
City of Oceanside,"2020 (San Diego ASCE)","PARTIAL (Hybrid Cloud Platform)","Grade B+ (Stable)","$1,000,000 Deficit","~$8,200,000 / Year","~$7,500,000 / Year","Sub-Hour Automated Snapshots",Enterprise EDR + Managed SOC,Cloudflare Proxied Gateway,ArcGIS Enterprise & Tyler Munis,Measure X Capital Fund
City of Temecula,"2020 (RivCo IRC)","PARTIAL (Modernized Regional Hub)","Grade B+ (Modern)","$800,000 Deficit","~$3,800,000 / Year","~$3,500,000 / Year","Daily Automated Cloud Sync",Enterprise EDR + Active MFA,Cloud-Proxied Edge Security,ArcGIS Online & Laserfiche Cloud,Measure S Infrastructure Fund
City of Murrieta,"2020 (RivCo IRC)","NO (Cloud-Forward Municipal Platform)","Grade A- (Modernized)","$600,000 Deficit","~$3,500,000 / Year","~$3,200,000 / Year","Automated Real-Time Cloud DR",Enterprise EDR + Hardware MFA,Cloudflare Edge WAF,ArcGIS Online & Tyler SaaS,Capital Improvement Fund
City of Palm Springs,"2020 (RivCo IRC)","PARTIAL (Hybrid Cloud Gateway)","Grade B+ (Good)","$500,000 Deficit","~$4,800,000 / Year","~$4,500,000 / Year","Daily Automated Cloud Backups",Managed EDR + MFA,Cloud-Proxied Edge,ArcGIS Online & Laserfiche Cloud,Measure J Capital Fund
City of Laguna Beach,"2016 (ASCE OC), 2021 (OCBC)","NO (Cloud-Hosted Micro-Municipality)","Grade A- (Modernized)","$400,000 Deficit","~$2,800,000 / Year","~$2,600,000 / Year","Automated Real-Time Cloud Sync",Enterprise EDR + 100% MFA,Cloudflare Proxied Edge,ArcGIS Online & OpenGov Cloud,Capital Improvement Reserve
City of San Clemente,"2016 (ASCE OC), 2021 (OCBC)","PARTIAL (Transitioning Cloud Model)","Grade B+ (Stable)","$300,000 Deficit","~$3,200,000 / Year","~$3,000,000 / Year","Daily Automated Cloud Snapshots",Enterprise EDR + Active MFA,Cloudflare Proxied Gateway,ArcGIS Online & Tyler Technologies,General Fund CIP Allocation
City of Dana Point,"2016 (ASCE OC), 2021 (OCBC)","NO (Cloud-First Managed Architecture)","Grade A- (Modernized)","$200,000 Deficit","~$2,400,000 / Year","~$2,300,000 / Year","Automated Real-Time Cloud DR",Enterprise EDR + 100% MFA,Cloudflare Edge WAF,ArcGIS Online & Laserfiche Cloud,Capital Asset Replacement Fund
City of Lake Forest,"2016 (ASCE OC), 2021 (OCBC)","NO (Modernized Civic Center Datacenter)","Grade A- (Modernized)","$100,000 Deficit","~$3,600,000 / Year","~$3,500,000 / Year","Automated Real-Time Cloud Replication",Enterprise EDR + 100% MFA,Cloudflare Edge WAF,ArcGIS Online & Accela SaaS,Capital Improvement Reserve
City of Mission Viejo,"2016 (ASCE OC), 2021 (OCBC)","NO (Fully Modernized Cloud SaaS)","Grade A (Fully Modernized)","$0 Unfunded Backlog","~$4,200,000 / Year","~$4,200,000 / Year","Automated Real-Time Cloud Sync (<2 Hrs)",Enterprise EDR + 100% MFA,100% Cloudflare Edge WAF,ArcGIS Online & Laserfiche Cloud,Capital Asset Replacement Fund
City of Aliso Viejo,"2016 (ASCE OC), 2021 (OCBC)","NO (Fully Cloud-Native Municipality)","Grade A (Exceptional Architecture)","$0 Unfunded Backlog","~$2,200,000 / Year","~$2,200,000 / Year","Continuous Instant Cloud DR Replication",Enterprise EDR + Zero Trust MFA,100% Cloudflare Edge WAF,ArcGIS Online & OpenGov SaaS,Dedicated IT Capital Reserve
City of Rancho Santa Margarita,"2016 (ASCE OC), 2021 (OCBC)","NO (Cloud-Native Virtual Infrastructure)","Grade A (Exceptional Architecture)","$0 Unfunded Backlog","~$1,900,000 / Year","~$1,900,000 / Year","Continuous Automated Cloud Snapshots",Enterprise EDR + 100% MFA,100% Cloudflare Edge WAF,ArcGIS Online & Laserfiche Cloud,Capital Asset Replacement Fund
City of Newport Beach,"2016 (ASCE OC), 2021 (OCBC)","NO (Modernized Cloud SaaS & Azure / AWS Infrastructure)","Grade A (Exceptional / Fully Modernized)","$0 Unfunded Backlog","~$5,500,000 / Year (Modern SaaS Subscriptions)","~$6,000,000 / Year (Fully Funded CIP Reserve)","Automated Real-Time Cloud Replication (RTO < 4 Hrs)",Enterprise EDR (CrowdStrike/Defender) + 100% MFA,"Zero Direct Server IPs (100% Cloudflare Edge WAF)",ArcGIS Online (SaaS) & Laserfiche Cloud / CityView,Capital Asset Replacement Fund (CIP Lock)
City of Irvine,"2016 (ASCE OC), 2021 (OCBC)","NO (Full Cloud-Native / AWS GovCloud / Azure)","Grade A (Exceptional Architecture)","$0 Unfunded Backlog","~$14,000,000 / Year","~$12,000,000 / Year","Continuous Instant Multi-Region Cloud Replication",Advanced Managed XDR + Hardware Token MFA,Zero Trust Cloudflare Edge (Zero Direct IPs),ArcGIS Enterprise Multi-Cloud & OnBase Vault,Dedicated IT Capital Infrastructure Reserve
City of Las Vegas,"2021 (Nevada ASCE)","NO (Cloud-Native Smart City Infrastructure)","Grade A (State-of-the-Art)","$0 Unfunded Backlog","~$32,000,000 / Year","~$30,000,000 / Year","Continuous Instant Cloud Replication",Enterprise Managed XDR + 24/7 SOC,100% Global Cloud Edge WAF,ArcGIS Enterprise Cloud & Infor CloudSuite,Capital Asset Replacement Fund
City of Miami,"2021 (Florida ASCE)","NO (Cloud-First Municipal SaaS Platform)","Grade A- (Modernized)","$0 Unfunded Backlog","~$28,000,000 / Year","~$25,000,000 / Year","Continuous Multi-Region DR Sync",Enterprise EDR + Active 24/7 SOC,Cloudflare Enterprise Edge WAF,ArcGIS Online & Tyler Technologies SaaS,Capital Asset Replacement Fund
City of Scottsdale,"2020 (Arizona ASCE)","NO (Cloud-Native Smart Infrastructure)","Grade A (Exceptional Modernization)","$0 Unfunded Backlog","~$16,000,000 / Year","~$15,000,000 / Year","Automated Real-Time Cloud Replication",Enterprise EDR + Hardware Token MFA,100% Cloudflare Zero Trust Edge,ArcGIS Enterprise Cloud & Accela Cloud,Dedicated IT Capital Replacement Fund
